series,rating_avg,genres,pages,publication_type,publication_info,author_books,author_followers
True,3.95,"Christian Fiction,Christian,Fiction,Religion,Fantasy,Faith,Apocalyptic",356 pages, Hardcover,"First published January 1, 2007",745,1926
True,4.36,"Romance,Contemporary Romance,Contemporary,Erotica,Fiction,M F Romance,Abuse",480 pages, ebook,"First published August 9, 2016",66,3380
False,2.97,Nonfiction,224 pages, Paperback,"First published January 1, 2007",21,9
True,3.99,"Romance,New Adult,Contemporary,High School,Fighters,Contemporary Romance,Sports",300 pages, Kindle Edition,"First published March 17, 2014",33,6160
False,3.5,,287 pages, Paperback,"First published September 1, 1994",292,377
True,3.97,"Fantasy,Fiction,Young Adult,Adventure,Science Fiction,Science Fiction Fantasy,Teen",238 pages, Paperback,"First published February 1, 2004",100,34.1k
True,3.59,"Science Fiction,Fiction,Space Opera,Robots,Cyberpunk,Speculative Fiction,Space",336 pages, Hardcover,"First published January 1, 2008",161,5612
False,4.2,"Nonfiction,Memoir,Biography,Audiobook,Biography Memoir,Autobiography,New York",180 pages, Hardcover,"First published July 12, 2022",8,717
False,4.07,,324 pages, Paperback,"First published April 22, 2009",39,27
False,4.07,"Art,Philosophy,Nonfiction",423 pages, Hardcover,"First published January 1, 1998",7,1
False,3.39,"Fiction,Contemporary,Literary Fiction,Adult Fiction,New York,Novels,Adult",197 pages, Hardcover,"First published March 7, 2017",12,1727
True,4.22,"Fantasy,Fiction,Young Adult,Magic,Adult,Audiobook,Romance",512 pages, Hardcover,"First published February 23, 2016",61,72k
False,3.82,"Fiction,Thriller,Mystery,Africa,Espionage,Crime,Mystery Thriller",482 pages, Paperback,"First published January 4, 2001",175,8515
False,4.02,"Historical Romance,Romance,Historical,Historical Fiction,Regency,Fiction,Beauty and The Beast",385 pages, Mass Market Paperback,"First published July 1, 1992",117,5206
False,4.07,"Picture Books,Childrens,Fiction,Folklore,Native Americans,Cultural,Animals",32 pages, Hardcover,"First published March 1, 1984",57,91
False,3.97,"Fiction,Africa,Senegal,Feminism,African Literature,France,Classics",90 pages, Paperback,"First published January 1, 1980",11,213
True,3.48,"Feminism,Womens,Nonfiction",272 pages, Paperback,"First published January 3, 2005",24,14
False,4.21,"History,Nonfiction,China,War,Japan,World War II,Historical",290 pages, Paperback,"First published October 14, 1997",7,370
True,4.03,"Mystery,Crime,Fiction,Mystery Thriller,Thriller,British Literature,Detective",448 pages, Paperback,"First published January 1, 1990",167,469
False,3.89,"Historical Fiction,Fiction,Spain,Historical,Romance,War,Spanish Civil War",432 pages, Hardcover,"First published January 1, 2008",66,1739
True,4.01,"Manga,Vampires,Fantasy,Romance,Graphic Novels,Supernatural,Anime",192 pages, Paperback,"First published October 4, 2004",86,171
True,3.6,"Manga,Comics,Comics Manga",240 pages, Paperback,"First published November 4, 2005",142,23
False,3.86,"Cookbooks,Cooking,Nonfiction,Food,Reference",192 pages, Paperback,"First published May 22, 2003",79,290
True,4.29,"Fantasy,Urban Fantasy,Fiction,Magic,Paranormal,Mythology,Audiobook",384 pages, Mass Market Paperback,"First published June 25, 2013",68,12.3k
False,3.89,"Travel,Memoir,Russia,Nonfiction,African American,History,Soviet Union",256 pages, Paperback,"First published January 1, 1981",46,301
False,3.55,"Fiction,Historical Fiction,Historical,Novels,Politics,Literary Fiction,Literature",322 pages, Hardcover,"First published July 1, 2008",40,1620
True,3.62,"Urban Fantasy,Vampires,Fantasy,Paranormal,Fiction,Mystery,Horror",359 pages, Paperback,"First published January 1, 2011",72,4145
True,4.15,"Reverse Harem,Romance,Dark,Erotica,Retellings,Romantic Suspense,Suspense",254 pages, Kindle Edition,"First published May 9, 2023",28,1341
False,4.14,"Religion,Judaism,Jewish,Philosophy,Spirituality,Nonfiction,Judaica",224 pages, Paperback,"First published January 1, 1908",522,423
False,3.78,,294 pages, Kindle Edition,"First published October 8, 2021",61,1559
True,3.99,"Mystery,Historical Fiction,Young Adult,Historical,Romance,Fiction,Victorian",337 pages, Hardcover,"First published August 10, 2010",15,960
True,4.02,"Romance,Contemporary Romance,Contemporary,Fiction,Audiobook,Chick Lit,Adult",250 pages, Paperback,"First published April 1, 1988",1785,52.5k
True,3.9,"Historical Fiction,Mystery,Fiction,Historical,Crime,Historical Mystery,Italy",318 pages, Paperback,"First published August 5, 1989",76,1378
False,3.88,"Mystery,Thriller,Fiction,Suspense,Crime,Mystery Thriller,Adult",389 pages, Hardcover,"First published January 1, 1989",101,406
False,3.48,"Fiction,Humor,Unfinished,British Literature",576 pages, Paperback,"First published January 1, 2006",24,27
False,4.0,"Fiction,Contemporary,Thriller,Horror,Novels,Humor,Mystery",304 pages, Paperback,"First published September 17, 1999",226,129k
False,4.09,"Turkish Literature,Turkish,Fiction,Roman,Magical Realism,Novels,Literature",238 pages, Paperback,"First published January 1, 1983",23,255
False,3.89,"Nonfiction,Memoir,Essays,Queer,Biography,Race,LGBT",145 pages, Paperback,"First published May 31, 1996",89,249
True,4.4,"Christian,Fiction,Christian Fiction,Romance,Historical Fiction,Inspirational,Contemporary",352 pages, Paperback,"First published April 28, 2003",207,9761
False,4.37,"Art,Nonfiction,History,Biography,Art History,France,Audiobook",480 pages, Hardcover,"First published July 12, 2022",4,17
True,4.39,"Historical Fiction,Fiction,Historical,Ancient History,Roman,Italy,Novels",1028 pages, Mass Market Paperback,"First published January 1, 1993",163,2668
True,3.94,"Steampunk,Romance,Fantasy,Paranormal Romance,Zombies,Paranormal,Fiction",311 pages, Paperback,"First published November 1, 2011",49,2564
True,4.44,"Urban Fantasy,Fantasy,Paranormal,Vampires,Romance,Werewolves,Shapeshifters",389 pages, Hardcover,"First published August 23, 2022",141,28.5k
False,4.19,"Historical Fiction,Christian Fiction,Fiction,Romance,Audiobook,Historical,Christian",432 pages, Paperback,"First published March 1, 2022",9,433
False,3.97,"Romance,Contemporary,Chick Lit,Fiction,Contemporary Romance,Adult,Audiobook",384 pages, Paperback,"First published May 3, 2022",42,645
False,3.96,"Nonfiction,Business,Psychology,Self Help,Leadership,Personal Development,Audiobook",326 pages, Hardcover,"First published February 2, 2016",16,19.5k
False,3.82,"Cookbooks,Cooking,Nonfiction,Food,Reference,Culinary,Wine",248 pages, Paperback,"First published April 18, 2006",79,290
True,3.83,"Historical Fiction,Mystery,Fiction,Historical,Historical Mystery,Medieval,Crime",406 pages, Paperback,"First published January 1, 1996",64,403
False,3.94,"Science Fiction,Fiction,Fantasy,Science Fiction Fantasy,Speculative Fiction,Aliens,Novels",384 pages, Paperback,"First published January 1, 1987",83,1013
True,4.31,"Romance,Military Fiction,Contemporary Romance,Suspense,Military Romance,Marriage",ebook,ebook,"First published February 13, 2013",17,329
True,3.93,"Historical,Viking Romance,Historical Romance",ebook,ebook,"First published January 1, 2013",17,329
False,3.36,"Fiction,Contemporary,Literary Fiction,Novels,British Literature,21st Century,Literature",306 pages, Paperback,"First published May 26, 2005",148,4592
True,4.34,"Nonfiction,History,Memoir,Biography,Asia,War,Biography Memoir",238 pages, Paperback,"First published January 26, 2000",7,396
False,3.93,"History,Biography,Nonfiction,France,Historical,Biography Memoir,French Revolution",512 pages, Paperback,"First published January 1, 2001",168,1372
False,3.43,"Fiction,Novels,Literary Fiction,New York,Contemporary,American,Adult Fiction",240 pages, Hardcover,"First published October 11, 2005",71,1255
False,4.0,"Romance,Contemporary,Contemporary Romance,New Adult,Audiobook,Adult,Fiction",323 pages, ebook,"First published February 17, 2018",86,24.6k
True,3.72,"Young Adult,Paranormal,Fantasy,Romance,Contemporary,Mystery,Fiction",262 pages, Hardcover,"First published January 5, 2012",22,14.8k
False,4.25,"Historical Fiction,Fiction,Historical,Asia,Literary Fiction,War,Audiobook",352 pages, Hardcover,"First published March 14, 2023",14,1791
False,4.25,"Nonfiction,Philosophy,History,Horror,Literature,Spirituality,Cultural",368 pages,368 pages,"First published January 1, 2003",16,32
True,3.96,"Fantasy,Fiction,Young Adult,Horror,Fairy Tales,Books About Books,Adventure",339 pages, Hardcover,"First published November 7, 2006",196,7272
True,4.04,"Mystery,Fiction,Crime,Mystery Thriller,Thriller,Detective,British Literature",413 pages, Mass Market Paperback,"First published May 1, 1988",106,5025
True,4.04,"Fiction,Westerns,Historical Fiction,Classics,Literature,Novels,Literary Fiction",302 pages, Paperback,"First published January 1, 1992",54,24.2k
True,3.7,"Young Adult,Middle Grade,Fiction,Contemporary,Mental Health,Childrens,Diary",128 pages, Paperback,"First published January 11, 1999",931,2783
False,3.6,"Historical Fiction,Fiction,Christian Fiction,Romance,Short Stories,Historical,Biblical Fiction",Paperback,Paperback,"First published January 1, 1984",19,6
